epoch_label,core_mean_risk
D20170630,0.9074622392654419
D20170712,0.9022879004478455
D20170724,0.9132996201515198
D20170805,0.9123256802558899
D20170817,0.9067100882530212
D20170829,0.9059312343597412
D20170910,0.8367379903793335
D20170922,0.8461055159568787
D20171004,0.8359354734420776
D20171016,0.8695186972618103
D20171028,0.8743996024131775
D20171109,0.8596035838127136
D20171121,0.8708940148353577
D20171203,0.8497591018676758
D20171215,0.905029296875
D20171227,0.8812522888183594
D20180108,0.8959527015686035
D20180120,0.9237099885940552
D20180201,0.929267406463623
D20180213,0.9168508052825928
D20180225,0.9098280072212219
