k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,4.831088062928757e-06,1.090283058147179e-05,0.0001692547812126577,-6.071742518543033e-06,-1.4811362643740721e-05,1.8597036387291141e-06,0
12,D20170712,2017-07-12,2.8898677555844188e-05,5.71989148738794e-05,0.00039069860940799117,-2.8300237318035215e-05,-9.440973226446659e-05,2.0238967817931552e-05,0
13,D20170724,2017-07-24,0.00016031040286179632,0.0002145422768080607,0.0013571319868788123,-5.4231873946264386e-05,-0.00021834946564922575,0.00022420755594794084,0
14,D20170805,2017-08-05,0.0010425903601571918,0.0007879507029429078,0.002682857448235154,0.00025463965721428394,-0.0006200705684022978,0.0016862516262335682,0
15,D20170817,2017-08-17,0.0011621036101132631,0.001253371825441718,0.003297260496765375,-9.126821532845497e-05,-0.0011518345010699705,0.0013028929970460008,0
16,D20170829,2017-08-29,0.003466392634436488,0.007819988764822483,0.006502669770270586,-0.004353596130385995,-0.008354478189721704,-8.025966817513285e-05,0
17,D20170910,2017-09-10,0.0035480542574077845,0.008185244165360928,0.006648394279181957,-0.004637189907953143,-0.008481191075406968,-0.0006494577392004438,0
18,D20170922,2017-09-22,0.0035698956344276667,0.008427713066339493,0.006954529322683811,-0.004857817431911826,-0.009047769894823431,-0.0009508877410553421,0
19,D20171004,2017-10-04,0.0035973007325083017,0.012100175954401493,0.00726022943854332,-0.008502875221893191,-0.013832235871814192,-0.003552430460695178,0
20,D20171016,2017-10-16,0.0036614832933992147,0.017801199108362198,0.010614120401442051,-0.014139715814962983,-0.02076365347020328,-0.007641241536475728,0
21,D20171028,2017-10-28,0.0038018221966922283,0.018807273358106613,0.011606769636273384,-0.015005451161414385,-0.02166279135271907,-0.007975393696688116,0
22,D20171109,2017-11-09,0.0038856135215610266,0.020161671563982964,0.01213197223842144,-0.016276058042421937,-0.023205704428255557,-0.008862742036581047,0
23,D20171121,2017-11-21,0.0040700389072299,0.02750312350690365,0.014458167366683483,-0.023433084599673748,-0.03015827089548111,-0.01636422337032855,0
24,D20171203,2017-12-03,0.004594151861965656,0.038781218230724335,0.016024863347411156,-0.03418706636875868,-0.042592383734881875,-0.025109470961615445,0
25,D20171215,2017-12-15,0.005294368602335453,0.06433602422475815,0.02170259691774845,-0.059041655622422695,-0.07083879858255386,-0.04861710425466299,0
26,D20171227,2017-12-27,0.007990594021975994,0.09861445426940918,0.023659339174628258,-0.09062386024743319,-0.10783277340233326,-0.07813428044319153,1
27,D20180108,2018-01-08,0.00896925013512373,0.12631142139434814,0.02471804805099964,-0.11734217125922441,-0.13601023219525815,-0.10043770875781777,1
28,D20180120,2018-01-20,0.009034265764057636,0.12874796986579895,0.025229772552847862,-0.11971370410174131,-0.13800628446042537,-0.10072876736521721,1
29,D20180201,2018-02-01,0.010678132995963097,0.13241149485111237,0.02623152546584606,-0.12173336185514927,-0.14187766313552858,-0.1019050071015954,1
30,D20180213,2018-02-13,0.0163043811917305,0.13604480028152466,0.030577819794416428,-0.11974041908979416,-0.13958905935287474,-0.10008498169481757,1
31,D20180225,2018-02-25,0.8961963653564453,0.25724661350250244,0.042485788464546204,0.6389497518539429,0.6021858274936676,0.6768022015690803,0
