k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.314081364431223,0.301633425415296,0.32823552273610573,0
12,D20170712,2017-07-12,0.5118935990996002,0.48361099392172363,0.5407731236734923,0
13,D20170724,2017-07-24,0.3842873592944749,0.3568042345662781,0.4139962355718594,0
14,D20170805,2017-08-05,0.3965033897431674,0.36766847338990205,0.4307373576329542,0
15,D20170817,2017-08-17,0.3564867456394712,0.325126522398504,0.3954851905523521,0
16,D20170829,2017-08-29,0.4770659565952983,0.44828319152614776,0.5126144703529311,0
17,D20170910,2017-09-10,0.4728449714435148,0.4422763544885863,0.5103935709259871,0
18,D20170922,2017-09-22,0.4444804039277388,0.4094644617563671,0.4805989457289525,0
19,D20171004,2017-10-04,0.43955074404826405,0.40368538550412225,0.47126570197326056,0
20,D20171016,2017-10-16,0.41791076044193565,0.38637887080158984,0.4470666573236224,0
21,D20171028,2017-10-28,0.41913956341013414,0.39014487016298793,0.4530434545472934,0
22,D20171109,2017-11-09,0.4150002094960969,0.3816619277204754,0.4462026123440879,0
23,D20171121,2017-11-21,0.4044189710033322,0.37220426254725103,0.4357459397489225,0
24,D20171203,2017-12-03,0.41323418147948554,0.38118619700049755,0.44842218737041933,0
25,D20171215,2017-12-15,0.419765884499745,0.3870785636851279,0.4504876262454784,0
26,D20171227,2017-12-27,0.44039474843853166,0.4072997951754253,0.4703074078301454,1
27,D20180108,2018-01-08,0.44603332384580896,0.41070626191057547,0.47856654462917025,1
28,D20180120,2018-01-20,0.43976914974925485,0.4100123662897182,0.47488022000461366,1
29,D20180201,2018-02-01,0.4379549617103743,0.40345236925637556,0.4721716822921858,1
30,D20180213,2018-02-13,0.4547047766554887,0.4206613599138128,0.49549470215675023,1
31,D20180225,2018-02-25,0.987807327162108,0.9795930574438297,0.9933421177213952,0
